StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Dissolved Organic Carbon		U	4.2	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Dissolved Phosphorus		U	5	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Dissolved Silica		U	0.16	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Iron		U	25	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Lead	<	U	10	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Magnesium		U	3.5	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Ortho-Phosphorus		U	3	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Potassium		U	1.4	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Secchi Depth			4.6			9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Sodium		U	6.6	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Temperature			14	1		9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Ammonia		U	0.013	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Kjeldahl Nitrogen		U	0.14	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Nitrate-Nitrite		U	0.13	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Nitrogen		U	0.48	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Organic Carbon		U	3.5	2	NY	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Phosphorus		U	14	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Total Suspended Solids		U	1.68	2	VT	9228050
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Alkalinity		U	49	2	VT	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Chloride		U	10.6	2	VT	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Chlorophyll-a			3.42	6	NY	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Dissolved Organic Carbon		U	3.3	2	NY	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Dissolved Phosphorus		U	7	2	VT	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Dissolved Silica	<	U	0.1	2	VT	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Iron		U	22	2	NY	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Lead	<	U	10	2	NY	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Magnesium		U	3.5	2	NY	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Ortho-Phosphorus		U	4	2	VT	9228067
46	Isle LaMotte (off Rouses Pt)	06/24/1992	1215	Potassium		U	1.4	2	NY	9228067
