StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
19	Main Lake	06/09/92	1315	Dissolved Inorganic Carbon		E	12	2	NY	9228056
19	Main Lake	06/09/92	1315	Dissolved Organic Carbon		E	3.9	2	NY	9228056
19	Main Lake	06/09/92	1315	Dissolved Phosphorus		E	7	2	VT	9228056
19	Main Lake	06/09/92	1315	Dissolved Silica	<	E	0.1	2	VT	9228056
19	Main Lake	06/09/92	1315	Iron		E	18	2	NY	9228056
19	Main Lake	06/09/92	1315	Lead	<	E	10	2	NY	9228056
19	Main Lake	06/09/92	1315	Magnesium		E	3.7	2	NY	9228056
19	Main Lake	06/09/92	1315	Ortho-Phosphorus		E	2	2	VT	9228056
19	Main Lake	06/09/92	1315	pH		E	8.7	2	VT	9228056
19	Main Lake	06/09/92	1315	Potassium		E	1.6	2	NY	9228056
19	Main Lake	06/09/92	1315	Secchi Depth			3.4			9228056
19	Main Lake	06/09/92	1315	Sodium		E	6.9	2	NY	9228056
19	Main Lake	06/09/92	1315	Temperature			14.4	1		9228056
19	Main Lake	06/09/92	1315	Total Ammonia		E	0.009	2	NY	9228056
19	Main Lake	06/09/92	1315	Total Kjeldahl Nitrogen		E	0.11	2	NY	9228056
19	Main Lake	06/09/92	1315	Total Nitrate-Nitrite		E	0.11	2	NY	9228056
19	Main Lake	06/09/92	1315	Total Nitrogen		E	0.43	2	VT	9228056
19	Main Lake	06/09/92	1315	Total Organic Carbon		E	3.6	2	NY	9228056
19	Main Lake	06/09/92	1315	Total Phosphorus		E	17	2	VT	9228056
19	Main Lake	06/09/92	1315	Total Suspended Solids		E	0.96	2	VT	9228056
19	Main Lake	06/09/92	1330	Alkalinity		H	52.2	101	VT	9228057
19	Main Lake	06/09/92	1330	Chloride		H	11.8	101	VT	9228057
19	Main Lake	06/09/92	1330	Dissolved Inorganic Carbon		H	12	101	NY	9228057
19	Main Lake	06/09/92	1330	Dissolved Organic Carbon		H	2.3	101	NY	9228057
19	Main Lake	06/09/92	1330	Dissolved Phosphorus		H	8	101	VT	9228057
19	Main Lake	06/09/92	1330	Dissolved Silica		H	0.31	101	VT	9228057
19	Main Lake	06/09/92	1330	Iron		H	30	101	NY	9228057
19	Main Lake	06/09/92	1330	Lead	<	H	10	101	NY	9228057
19	Main Lake	06/09/92	1330	Magnesium		H	3.8	101	NY	9228057
19	Main Lake	06/09/92	1330	Ortho-Phosphorus		H	5	101	VT	9228057
19	Main Lake	06/09/92	1330	pH		H	8	101	VT	9228057
19	Main Lake	06/09/92	1330	Potassium		H	1.5	101	NY	9228057
19	Main Lake	06/09/92	1330	Sodium		H	7.1	101	NY	9228057
19	Main Lake	06/09/92	1330	Total Ammonia		H	0.014	101	NY	9228057
19	Main Lake	06/09/92	1330	Total Kjeldahl Nitrogen		H	0.19	101	NY	9228057
19	Main Lake	06/09/92	1330	Total Nitrate-Nitrite		H	0.15	101	NY	9228057
19	Main Lake	06/09/92	1330	Total Nitrogen		H	0.46	101	VT	9228057
19	Main Lake	06/09/92	1330	Total Organic Carbon		H	3.6	101	NY	9228057
19	Main Lake	06/09/92	1330	Total Phosphorus		H	11	101	VT	9228057
19	Main Lake	06/09/92	1330	Total Suspended Solids		H	0.37	101	VT	9228057
19	Main Lake	06/23/1992	1100	Alkalinity		E	49.1	2	VT	9228059
19	Main Lake	06/23/1992	1100	Chloride		E	10.7	2	VT	9228059
19	Main Lake	06/23/1992	1100	Chlorophyll-a			2.6	10	NY	9228059
19	Main Lake	06/23/1992	1100	Dissolved Inorganic Carbon		E	12	2	NY	9228059
19	Main Lake	06/23/1992	1100	Dissolved Organic Carbon		E	4.6	2	NY	9228059
19	Main Lake	06/23/1992	1100	Dissolved Phosphorus		E	7	2	VT	9228059
19	Main Lake	06/23/1992	1100	Dissolved Silica	<	E	0.1	2	VT	9228059
19	Main Lake	06/23/1992	1100	Iron		E	17	2	NY	9228059
19	Main Lake	06/23/1992	1100	Lead	<	E	10	2	NY	9228059
19	Main Lake	06/23/1992	1100	Magnesium		E	3.7	2	NY	9228059
19	Main Lake	06/23/1992	1100	Ortho-Phosphorus		E	2	2	VT	9228059
19	Main Lake	06/23/1992	1100	Potassium		E	1.4	2	NY	9228059
19	Main Lake	06/23/1992	1100	Secchi Depth			5			9228059
19	Main Lake	06/23/1992	1100	Sodium		E	6.8	2	NY	9228059
19	Main Lake	06/23/1992	1100	Total Ammonia		E	0.021	2	NY	9228059
19	Main Lake	06/23/1992	1100	Total Kjeldahl Nitrogen		E	0.24	2	NY	9228059
19	Main Lake	06/23/1992	1100	Total Nitrate-Nitrite		E	0.16	2	NY	9228059
19	Main Lake	06/23/1992	1100	Total Nitrogen		E	0.48	2	VT	9228059
19	Main Lake	06/23/1992	1100	Total Organic Carbon		E	3.7	2	NY	9228059
19	Main Lake	06/23/1992	1100	Total Phosphorus		E	10	2	VT	9228059
19	Main Lake	06/23/1992	1100	Total Suspended Solids		E	0.92	2	VT	9228059
19	Main Lake	06/23/1992	1015	Alkalinity		H	52.7	101	VT	9228060
19	Main Lake	06/23/1992	1015	Chloride		H	11.1	101	VT	9228060
19	Main Lake	06/23/1992	1015	Dissolved Inorganic Carbon		H	12	101	NY	9228060
19	Main Lake	06/23/1992	1015	Dissolved Organic Carbon		H	3.5	101	NY	9228060
19	Main Lake	06/23/1992	1015	Dissolved Phosphorus		H	9	101	VT	9228060
19	Main Lake	06/23/1992	1015	Dissolved Silica		H	0.38	101	VT	9228060
19	Main Lake	06/23/1992	1015	Iron		H	30	101	NY	9228060
19	Main Lake	06/23/1992	1015	Lead		H	20	101	NY	9228060
19	Main Lake	06/23/1992	1015	Magnesium		H	4	101	NY	9228060
19	Main Lake	06/23/1992	1015	Ortho-Phosphorus		H	7	101	VT	9228060
19	Main Lake	06/23/1992	1015	Potassium		H	1.5	101	NY	9228060
19	Main Lake	06/23/1992	1015	Sodium		H	7.5	101	NY	9228060
19	Main Lake	06/23/1992	1015	Total Ammonia	<	H	0.005	101	NY	9228060
19	Main Lake	06/23/1992	1015	Total Kjeldahl Nitrogen		H	0.18	101	NY	9228060
19	Main Lake	06/23/1992	1015	Total Nitrate-Nitrite		H	0.28	101	NY	9228060
19	Main Lake	06/23/1992	1015	Total Nitrogen		H	0.54	101	VT	9228060
19	Main Lake	06/23/1992	1015	Total Organic Carbon		H	3.9	101	NY	9228060
19	Main Lake	06/23/1992	1015	Total Phosphorus		H	11	101	VT	9228060
19	Main Lake	06/23/1992	1015	Total Suspended Solids		H	0.71	101	VT	9228060
19	Main Lake	07/09/92	1130	Alkalinity		E	50.1	2	VT	9228079
19	Main Lake	07/09/92	1130	Chloride		E	11.3	2	VT	9228079
19	Main Lake	07/09/92	1130	Chlorophyll-a			4.4	8.6	NY	9228079
19	Main Lake	07/09/92	1130	Dissolved Inorganic Carbon		E	12	2	NY	9228079
19	Main Lake	07/09/92	1130	Dissolved Organic Carbon		E	2.2	2	NY	9228079
19	Main Lake	07/09/92	1130	Dissolved Phosphorus		E	5	2	VT	9228079
19	Main Lake	07/09/92	1130	Dissolved Silica	<	E	0.1	2	VT	9228079
19	Main Lake	07/09/92	1130	Iron		E	22	2	NY	9228079
19	Main Lake	07/09/92	1130	Lead	<	E	10	2	NY	9228079
19	Main Lake	07/09/92	1130	Magnesium		E	3.7	2	NY	9228079
19	Main Lake	07/09/92	1130	Ortho-Phosphorus		E	4	2	VT	9228079
19	Main Lake	07/09/92	1130	Potassium		E	1.5	2	NY	9228079
19	Main Lake	07/09/92	1130	Secchi Depth			4.3			9228079
19	Main Lake	07/09/92	1130	Sodium		E	7.6	2	NY	9228079
19	Main Lake	07/09/92	1130	Total Ammonia		E	0.013	2	NY	9228079
19	Main Lake	07/09/92	1130	Total Kjeldahl Nitrogen		E	0.11	2	NY	9228079
19	Main Lake	07/09/92	1130	Total Nitrogen		E	0.51	2	VT	9228079
