StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
21	Burlington Bay	05/15/1992	1300	Alkalinity		U	53	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Chloride		U	11.5	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Chlorophyll-a			5.9	9.6	VT	9228020
21	Burlington Bay	05/15/1992	1300	Dissolved Inorganic Carbon		U	12	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Dissolved Organic Carbon		U	6.8	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Dissolved Phosphorus		U	8	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Dissolved Silica		U	0.39	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Lead	<	U	10	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Magnesium		U	4.4	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Potassium		U	1.4	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Secchi Depth			4.8			9228020
21	Burlington Bay	05/15/1992	1300	Sodium		U	8.1	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Total Kjeldahl Nitrogen		U	0.19	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Total Nitrate-Nitrite		U	0.26	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Total Nitrogen		U	0.58	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Total Organic Carbon		U	4.7	2	NY	9228020
21	Burlington Bay	05/15/1992	1300	Total Phosphorus		U	17	2	VT	9228020
21	Burlington Bay	05/15/1992	1300	Total Suspended Solids		U	1.63	2	VT	9228020
21	Burlington Bay	05/15/1992	1310	Alkalinity		U	51.9	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Chloride		U	11.4	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Dissolved Inorganic Carbon		U	12	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Dissolved Organic Carbon		U	6.6	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Dissolved Phosphorus		U	9	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Dissolved Silica		U	0.45	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Iron		U	39	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Lead	<	U	10	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Magnesium		U	4	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Potassium		U	1.3	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Sodium		U	7.3	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Total Kjeldahl Nitrogen		U	0.18	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Total Nitrate-Nitrite		U	0.13	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Total Nitrogen		U	0.56	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Total Organic Carbon		U	4.9	14	NY	9228021
21	Burlington Bay	05/15/1992	1310	Total Phosphorus		U	13	14	VT	9228021
21	Burlington Bay	05/15/1992	1310	Total Suspended Solids		U	1.06	14	VT	9228021
21	Burlington Bay	05/20/1992	1610	Alkalinity		U	52.6	2	VT	9228037
21	Burlington Bay	05/20/1992	1610	Chloride		U	11.7	2	VT	9228037
21	Burlington Bay	05/20/1992	1610	Chlorophyll-a			8.56	7.6	NY	9228037
21	Burlington Bay	05/20/1992	1610	Dissolved Inorganic Carbon		U	12	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Dissolved Organic Carbon		U	3.8	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Dissolved Phosphorus		U	6	2	VT	9228037
21	Burlington Bay	05/20/1992	1610	Dissolved Silica		U	0.25	2	VT	9228037
21	Burlington Bay	05/20/1992	1610	Iron		U	20	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Lead	<	U	10	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Magnesium		U	4	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Ortho-Phosphorus		U	2	2	VT	9228037
21	Burlington Bay	05/20/1992	1610	Potassium		U	1.5	2	NY	9228037
21	Burlington Bay	05/20/1992	1610	Secchi Depth			3.8			9228037
21	Burlington Bay	05/20/1992	1610	Sodium		U	7.2	2	NY	9228037
