Trawl	1	2	3	4	4	4	4	5	5	6	6	6	6	6	7	7	7	7	7	8	8	8	8	8
Species	Trout perch	Trout perch	Trout perch	Trout perch	Smelt	Alewife	Lamprey	Trout perch	Smelt	Trout perch	Alewife	Smelt	Sculpin	Lamprey	Trout perch	Alewife	Smelt	Sculpin	Lamprey	Trout perch	Alewife	Smelt	Sculpin	Lamprey
1	65	82	75	100	102	175	315	97	91	104	185	110	40	240	88	160	111	32	477	95	146	105	60	185
2	64	64	70	107	62			102	95	76	173	106	56	225	95	150	100	34		90	175	111	39	347
3	90	95	73	91	70			82	63	93	178	55	35		96	192	115	51		100	194	110	33	
4	65	76	75	85	61			90	70	89	170	110	37		89		104	55		95		65	56	
5	50	77	70	81				83	57	96	210	101	60		90		95	34		90		110	67	
6	64	74	60	99				75	67	99	152	90			97		107	42		100		100		
7	64	70	80	94				76	55	96	188	107			100		71	51		85		105		
8	67	72	75	89				70	67	76	187	114			94		98	36		105		107		
9	65	87	65	83				85	55	90	175	123			79		171	50		91		104		
10	75	81	87	105				79		85	168				98		101	63		85		105		
11	73	64	72	79				74		74	173				101		118	70		86		111		
12	68	76	65	75				72		72	179				102		121	62		91		106		
13	73	87	85	99				80		89	175				83		115	40		98		110		
14	77	85	63	95				71		89	174				93		106			98		112		
15	70	79	70	91				89		97	162				93		110			81		106		
16	66	86	70	74				70		84	149				97		70			85		120		
17	63	85	82	80				75		79	185				111		95			100		111		
18	70	88	83	99				74		100	185				95		125			100		109		
19	64	82	100	86				87		94	175				95		112			98		119		
20	71	81	98	105				80		100	168				98		173			95		73		
21	72	91	95	77				79		87	179				97		125			102		125		
22	64	88	99	75				87		91	148				96		117			102		54		
23	58	93	91	86				88		95	166				95		106			86		111		
24	68	73	75	90				91		91	175				94					25		111		
25	69	80	75	85				90		106	167				82					111		113		
26	66	67	80	70				85		91	165				88					75		100		
27	65	70	80	71				95		74	180				94					68		103		
28	59	83	90	90				87		83	179				84					95		100		
29	65	68	95	85				77		87	173				98					91		102		
30	46	82	85	96				102		71	170				91					91		111		
31	86	98	91	71				91		78	188				85					90		124		
32	76	71	65	80				82		92					107					94		106		
33	64	70	100	86				86		95					77					90		106		
34	65	67	92	85				84		91					97					85		120		
35	70	78	84	89				105		92					85					98		105		
36	73	74	88	87				77		93					100					80		103		
37	78	73	84	92				83		86					92					90		101		
38	65	69	76	100				87		85					82					108		115		
39	70	77	80	92				70		94					110					94		110		
40	68	82	77	75				73		102					92					100		97		
41	74	81	76	80				76		94					78					103		110		
42	60	70	65	82				82		76					88					100		108		
43	68	72	80	76				80		100					73					98		105		
44	58	62	61	95				91		80					67					73		117		
45	65	69	70	85				71		85					101					91		115		
46	70	74	77	84				72		88					97					76		115		
47	58	73	65	79				82		94					90					90		110		
48	66	65	80	71				81		75					84					60		93		
49	70	78	71	80				72		88					93					90		100		
50	69	65	70	81				80		88					85					70		107		
51	68	71	71	71				80		85					82					83		104		
52	68	64	85	70				69		90					90					75		65		
53	76	96	70	73				75		95					93					90		119		
54	65	68	77	70				100		75					90					98		58		
55	71	88	70	65				105		95					100					95		111		
56	70	64	65	91				82		103					94					85		105		
57	65	80	70	75				85		105					85					72		111		
58	69	74	71	76				79		90					91					100		105		
59	63	91	90	90				82		72					80					92		97		
60	55	72	80	77				87		72					90					83		109		
61	46	100	75	67				90		88					77					104		110		
62	70	72	70	97				87		79					104					87		101		
63	60	90	70	72				91		103					92					85		109		
64	62	68	85	75				79		85					86					78		102		
65	61	75	60	74				83		98					74					75		105		
66	61	74	85	73				90		84					80					99		112		
67	66	69	85	80				75		85					71					92		102		
68	60	71	72	75				93		88					86					80		110		
69	68	72	87	74				89		85					79					89		106		
70	65	81	66	91				75		77					92					72		115		
71	73	94	85	69				87		80					88					72		108		
72	61	75	85	76				83		95					81					85		109		
73	45	101	76	85				95		79					85					65		130		
74	55	74	75	90				90		80					96					87		111		
75	65	75	80	96				73		95					75					96		125		
76	61	92	80	66				81		90					87					80		111		
77	57	90	90	84				93		84					97					91		106		
78	65	83	77	74				95		96					84					83				
79	57	100	81	80				77		92					90					99				
80	43	67	74	81				92		87					103					90				
81	52	88	80	70				75		97					92					95				
82	64	84	80	79				87		73					85					85				
83	71	65	79	100				80		102					70					101				
84	67	85	100	71				80		88					94					82				
85	51	74	76	93				96		81					70					89				
86	66	78	69	70				74		100					110					70				
87	57	71	80	84				85		100					93					84				
88	62	80	72	74				66		80					70					85				
89	70	86	80	71				75		75					90					83				
90	66	84	90	79				74		90					97					90				
91	69	84	80	71				87		64					102					88				
92	57	76	90	84				90		99					84					78				
93	61	71	85	75				102		80					92					75				
94	43	89	91	79				88		87					99					81				
95	66	72	76	67				93		89					87					72				
96	58	70	80	89				70		88					93					90				
97	58	73	70	63				68		90					105					94				
98	70	65	75	80				70		110					72					89				
99	59	85	85	76				80		96					76					85				
100	58	93	102	76				91		90					86					110				
101	59	72	74	86				93		85					87					95				
102	70	71	85	82				70		96					92					82				
103	62	85	91	75				85		102					80					83				
104	64	75	75	71				95		111					96					76				
105	66	66	80	69				90		82					68					91				
106	65	72	69	69				91		112					98					90				
107	64	80	76	72				87		91					93					93				
108	72	97	74	75				100		88					83					85				
109	64	70	71	63				100		96					100					90				
110	59	70	76	80				83		86					85					72				
111	63	78	95	73				73		90					93					91				
112	66	92	74	74				68		87					75					93				
113	57	71	70	75				84		69					76					98				
114	68	73	71	69				72		102					89					95				
115	67	75	65	72				83		   					92					90				
116	51	70	75	66				79							74					99				
117	61	75	75	73				90							90					75				
118	60	86	76	69				70							86					95				
119	65	68	68	71				84							100					98				
120	55	60	80	69				66							81					91				
121	61	68	89	74				76							107					93				
122	67	74	76	58				75							80					81				
123	59	75	82	81				80							100					95				
124				68																				
